title,author,tag,image_url,external_link
,JOEGARNER,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d62ebe2caba892366001.jpg,https://www.joegarnerdesign.com/
,Huy Nguyen,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b7aa90dbac3889881012.jpg,https://mammothmurals.com/
,FUTURE THREE®,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d7e48d9ea55119289405.png,https://more-nutrition.webflow.io/
,Roman Jean-Elie,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d41a8c4b630025066425.png,https://www.romanjeanelie.com/
,Pedro Churro,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d16107f231c596677470.png,https://alfredogelado.pt
,Fiddle.Digital Design Agency,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3bbda420b5091092924.jpg,https://www.wearekaleida.com/
,Undefined,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d464cb348a6816000629.jpg,https://thisisundefined.com
,Visual Identity,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e0f916f09fc464589662.png,https://rohit-harish.com/
,60fps,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b856ac82b8f885139949.jpg,https://www.chanel.com/fr/maquillage/4-ombres-boutons/
,EssilorLuxottica Creative Hub,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d55c87594aa572219344.jpg,https://www.oakley.com/en-us/l/axiom-space
,Velizar Delyanov,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d2a6b0872f8878152892.png,https://www.velizardelyanov.com/
,sa-design,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d30d852beb6330964391.jpg,https://www.marquet.nyc
,zentixsoft,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3da984fa26148400740.jpg,https://lucesposa.com/en
,CreativeWeb,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3ba1031292171741844.png,https://watchgorillascience.com/
,HOLOGRAPHIK,AH,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68b17798841f3128230559.png,https://www.davidalaba.com/
,bigstudio,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d4c241213fc711100721.png,https://bigstudio-tw.com/
,Mambo Mambo,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d185931da81217827746.jpg,https://jacques-cie.com/
,sbae18,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d24484145aa910919259.png,https://imnotabot.sangyoungbae.com/
,Local Studio,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d24d928ec44535950273.jpg,https://www.marie-antoinette.fr/
,Obriy Design Büro,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d2928988c14081660995.png,https://www.smalltownwitches.com
,P.Factory,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d1778882a16988000445.jpg,https://www.paul-factory.com/
,viresh-pawar,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d25790d4f9a921620666.jpg,http://9870089044.com
,JF,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d2065689457524265396.jpg,https://www.joelefrank.com/
,Mambo Mambo,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/06/68598df85c2cb579659594.jpg,https://eddie.eco/
,WE RAD,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d1273e05956467275761.jpg,https://edpcollection.drvranjes.com/en
,,PROMOTED,,
,imaga.ai,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d12c0360a02569538251.png,https://branding.imaga.ai/
,Jordan Gilroy,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d110514713e448029297.jpg,https://www.appliedarts.com
,MOYIN,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d117e3ced8c420221567.png,https://nestandfield.framer.website/
,Jordan Gilroy,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d1097f3bfc8010013628.jpg,https://www.stack.vc/
,Somefolk®,SOTD,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/06/685b8b24e8c14154460579.jpg,https://www.weareexample.com/
,Awd Agency,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cfd43ef0b37926598290.jpg,https://janetandjanet.com/
,MONOGRID,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cd4420d4ac6922887019.jpg,https://beautytools.dolcegabbana.com/en-it/fresh-skin
,ARK®,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68ceb2eb06930546088895.png,http://byld.dev
,Thinkingbox,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d45a00b227a832550343.jpg,https://www.brars.com/
